_id,code,date,name,market_key,market_name,sector_key,sector_name,url,p_kari,v_kobo,p_uri,v_uri,unit
6600,6600,2020/10/06,キオクシアホールディングス（株）,undec,未定,ela,電気機器,https://www.kioxia-holdings.com/,,"21,562.5",,"66,068.9(OA7,886.9)",100
7354,7354,2020/10/05,（株）ダイレクトマーケティングミックス,undec,未定,svc,サービス,https://dmix.co.jp/,,,,"7,845.9(OA1,176.8)",100
2987,2987,2020/10/02,（株）タスキ,mothers,マザーズ,ree,不動産,https://tasukicorp.co.jp,,300,,(OA45),100
4012,4012,2020/09/30,（株）アクシス,mothers,マザーズ,ifc,情報・通信,https://www.axis-net.co.jp/,,78,,440(OA77.7),100
4011,4011,2020/09/29,（株）ヘッドウォータース,mothers,マザーズ,ifc,情報・通信,https://www.headwaters.co.jp/,,100,,(OA15),100
4060,4060,2020/09/28,rakumo（株）,mothers,マザーズ,ifc,情報・通信,https://corporate.rakumo.com/,"1,100～1,250",266.4,,"1,059.6(OA198.9)",100
4933,4933,2020/09/25,（株）Ｉ－ｎｅ,mothers,マザーズ,che,化学,https://i-ne.co.jp/,,"1,713.6",,428.4(OA321.3),100
2932,2932,2020/09/25,（株）ＳＴＩフードホールディングス,tse2,東証二部,fds,食料品,https://www.shintokyo.co.jp/,"1,790～1,900",300.5,,"1,000(OA195)",100
4930,4930,2020/09/24,（株）グラフィコ,jasdaqst,JQスタンダード,che,化学,https://www.graphico.co.jp/,"3,850～4,090",80,,200(OA42),100
4059,4059,2020/09/24,（株）まぐまぐ,jasdaqst,JQスタンダード,ifc,情報・通信,https://www.mag2.co.jp/,730～810,530,,120(OA30),100
4058,4058,2020/09/24,トヨクモ（株）,mothers,マザーズ,ifc,情報・通信,https://toyokumo.co.jp//,"1,800～2,000",300,,200(OA50),100
1375,1375,2020/09/17,（株）雪国まいたけ,undec,未定,faf,水産・農林,https://www.maitake.co.jp/,"2,000～2,400",,,"17,672.7(OA2,650.8)",100
4057,4057,2020/08/25,（株）インターファクトリー,mothers,マザーズ,ifc,情報・通信,https://www.interfactory.co.jp/,870～960,466,960,500(OA144.9),100
4056,4056,2020/08/20,ニューラルポケット（株）,mothers,マザーズ,ifc,情報・通信,https://www.neuralpocket.com/,800～900,415,900,133.6(OA82.2),100
4055,4055,2020/08/07,ティアンドエス（株）,mothers,マザーズ,ifc,情報・通信,https://www.tecsvc.co.jp/,"2,650～2,800",170,"2,800",77(OA30),100
4883,4883,2020/08/03,（株）モダリス,mothers,マザーズ,pha,医薬品,https://www.modalistx.com/jp/,"1,000～1,200","2,100","1,200",600(OA405),100
4054,4054,2020/07/31,日本情報クリエイト（株）,mothers,マザーズ,ifc,情報・通信,https://www.n-create.co.jp/,"1,200～1,300",800,"1,300",690(OA223.5),100
4053,4053,2020/07/31,（株）Sun Asterisk,mothers,マザーズ,ifc,情報・通信,https://sun-asterisk.com/,630～700,"2,050",700,"2,150(OA630)",100
7353,7353,2020/07/15,ＫＩＹＯラーニング（株）,mothers,マザーズ,svc,サービス,https://www.kiyo-learning.com/,"2,070～2,300",300,"2,300",40.2(OA51),100
4495,4495,2020/07/15,（株）アイキューブドシステムズ,mothers,マザーズ,ifc,情報・通信,https://www.i3-systems.com/,"2,720～3,120",150,"3,120",(OA22.5),100
4051,4051,2020/07/15,GMOフィナンシャルゲート（株）,mothers,マザーズ,ifc,情報・通信,https://gmo-fg.com/,"2,420～2,540",240,"2,540",208.8(OA67.3),100
4499,4499,2020/07/10,（株）Speee,jasdaqst,JQスタンダード,ifc,情報・通信,https://speee.jp/,"2,520～2,880",855.6,"2,880",120(OA146.3),100
7352,7352,2020/07/07,（株）Branding Engineer,mothers,マザーズ,svc,サービス,https://b-engineer.co.jp/,450～490,260,490,136.2(OA40),100
7351,7351,2020/06/30,（株）グッドパッチ,mothers,マザーズ,svc,サービス,https://goodpatch.com/,610～690,308.9,690,350.9(OA98.9),100
6599,6599,2020/06/29,エブレン（株）,jasdaqst,JQスタンダード,ela,電気機器,https://ebrain.co.jp/,"1,200～1,350",142.9,"1,350",127(OA40.4),100
4496,4496,2020/06/26,（株）コマースOneホールディングス,mothers,マザーズ,ifc,情報・通信,https://www.cm-one.jp/,"1,400～1,600",150,"1,600",384(OA80.1),100
7689,7689,2020/06/24,（株）コパ・コーポレーション,mothers,マザーズ,wht,卸売,https://www.copa.co.jp/,"1,850～2,000",320,"2,000",300(OA93),100
4497,4497,2020/06/24,（株）ロコガイド,mothers,マザーズ,ifc,情報・通信,https://locoguide.co.jp,"1,800～2,000","2,346.7","2,000",(OA244),100
